tipo	Id	Orip	Ano	Turno	NoBolsa	NoCarpeta	TipoFormulario	Matricula	FechaInicial	FechaFinal	Correlativo	FolioInicial	FolioFinal	TotalFolios	NoFoliosPeriodico	CantidadPeriodico	NoFoliosMapa	CantidadMapa	NoFoliosCd	CantidadCd	Caja
2020	206841	236	2020	4460	1	1	6	53902	27/11/2020	27/11/2020	1 DE 1	1	5	5	0	0	0	0	0	0	2
2020	206842	236	2020	4462	1	1	6	23238	27/11/2020	27/11/2020	1 DE 1	6	6	1	0	0	0	0	0	0	2
2020	206843	236	2020	4465	1	1	6	35178	27/11/2020	27/11/2020	1 DE 1	7	13	7	0	0	0	0	0	0	2
2020	206844	236	2020	4469	1	1	6	8441	27/11/2020	27/11/2020	1 DE 1	14	21	8	0	0	0	0	0	0	2
2020	206845	236	2020	4474	1	1	6	35603	27/11/2020	27/11/2020	1 DE 1	22	38	17	0	0	0	0	0	0	2
2020	206846	236	2020	4475	1	1	6	44855	27/11/2020	27/11/2020	1 DE 1	39	51	13	0	0	0	0	0	0	2
2020	206847	236	2020	4494	1	1	6	50753	1/12/2020	1/12/2020	1 DE 1	52	65	14	0	0	0	0	0	0	2
2020	206848	236	2020	4747	1	1	6	24055	1/12/2020	1/12/2020	1 DE 1	66	67	2	0	0	0	0	0	0	2
2020	206849	236	2020	4749	1	1	6	86809	1/12/2020	1/12/2020	1 DE 1	68	92	25	0	0	0	0	0	0	2
2020	206850	236	2020	4750	1	1	6	85714	1/12/2020	1/12/2020	1 DE 1	93	108	16	0	0	0	0	0	0	2
2020	206851	236	2020	4751	1	1	6	1373	1/12/2020	1/12/2020	1 DE 1	109	113	5	0	0	0	0	0	0	2
2020	206852	236	2020	4752	1	1	6	55333	1/12/2020	1/12/2020	1 DE 1	114	124	11	0	0	0	0	0	0	2
2020	206853	236	2020	4757	1	1	6	25431	1/12/2020	1/12/2020	1 DE 1	125	133	9	0	0	0	0	0	0	2
2020	206854	236	2020	4759	1	1	6	76193	1/12/2020	1/12/2020	1 DE 1	134	136	3	0	0	0	0	0	0	2
2020	206855	236	2020	4762	1	1	6	42032	1/12/2020	1/12/2020	1 DE 1	137	145	9	0	0	0	0	0	0	2
2020	206856	236	2020	4767	1	1	6	53119	1/12/2020	1/12/2020	1 DE 1	146	154	9	0	0	0	0	0	0	2
2020	206859	236	2020	2947	1	1	6	767	1/12/2020	1/12/2020	1 DE 1	155	166	12	0	0	0	0	0	0	2
2020	206860	236	2020	4466	1	2	6	40833	1/12/2020	1/12/2020	1 DE 1	1	14	14	0	0	0	0	0	0	2
2020	206861	236	2020	4472	1	2	6	15633	1/12/2020	1/12/2020	1 DE 1	15	22	8	0	0	0	0	0	0	2
2020	206862	236	2020	4495	1	2	6	17208	1/12/2020	1/12/2020	1 DE 1	23	34	12	0	0	0	0	0	0	2
2020	206863	236	2020	4496	1	2	6	39061	1/12/2020	1/12/2020	1 DE 1	35	45	11	0	0	0	0	0	0	2
2020	206864	236	2020	4497	1	2	6	40943	1/12/2020	1/12/2020	1 DE 1	46	102	57	0	0	0	0	0	0	2
2020	206865	236	2020	4498	1	2	6	36217	1/12/2020	1/12/2020	1 DE 1	103	127	25	0	0	0	0	0	0	2
2020	206866	236	2020	4500	1	2	6	61822	1/12/2020	1/12/2020	1 DE 1	128	146	19	0	0	0	0	0	0	2
2020	206867	236	2020	4527	1	2	6	66192	1/12/2020	1/12/2020	1 DE 1	147	161	15	0	0	0	0	0	0	2
2020	206868	236	2020	4529	1	2	6	85063	1/12/2020	1/12/2020	1 DE 1	162	179	18	0	0	0	0	0	0	2
2020	206869	236	2020	4531	1	2	6	68832	1/12/2020	1/12/2020	1 DE 1	180	191	12	0	0	0	0	0	0	2
2020	206870	236	2020	4541	1	2	6	57579	1/12/2020	1/12/2020	1 DE 1	192	200	9	0	0	0	0	0	0	2
2020	206871	236	2020	4543	1	3	6	26841	1/12/2020	1/12/2020	1 DE 1	1	24	24	0	0	0	0	0	0	2
2020	206872	236	2020	4553	1	3	6	55086	1/12/2020	1/12/2020	1 DE 1	25	36	12	0	0	0	0	0	0	2
2020	206873	236	2020	4560	1	3	6	49059	1/12/2020	1/12/2020	1 DE 1	37	67	31	0	0	0	0	0	0	2
2020	206874	236	2020	4561	1	3	6	66349	1/12/2020	1/12/2020	1 de 1	68	79	12	0	0	0	0	0	0	2
2020	206875	236	2020	4562	1	3	6	35697	1/12/2020	1/12/2020	1 DE 1	80	89	10	0	0	0	0	0	0	2
2020	206876	236	2020	4563	1	3	6	86799	1/12/2020	1/12/2020	1 DE 1	90	106	17	0	0	0	0	0	0	2
2020	206877	236	2020	4564	1	3	6	86798	1/12/2020	1/12/2020	1 DE 1	107	124	18	0	0	0	0	0	0	2
